,Código IBGE do Município,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome das Grandes Regiões,Código IBGE da Mesoregião,Nome da Mesoregião,Código IBGE da Microregião,Nome da Microregião,Área da unidade territorial,Estabelecimentos de Saúde SUS,Índice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010),Matrícula - Ensino fundamental - 2012,Matrícula - Ensino médio - 2012,Número de unidades locais,Pessoal ocupado total,PIB per capita a preços correntes,População residente,População residente - Homens,População residente - Mulheres,População residente alfabetizada,População residente que frequentava creche ou escola,"População residente, religião católica apostólica romana","População residente, religião espírita","População residente, religião evangélicas",Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Rural,Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Urbana,"Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Rural","Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Urbana"
127,230970,23,CE,Nordeste,2303,Metropolitana de Fortaleza,23016,Fortaleza,131.994,15,0.675,9235,2333,555,7387,7680.07,72299,35599,36700,59467,24791,48406,405,18007,213.33,273.0,1014.01,1387.65
128,230980,23,CE,Nordeste,2302,Norte Cearense,23013,BaturitÚ,112.021,22,0.635,2117,504,167,903,4741.63,11607,5850,5757,8690,3810,10486,34,747,200,255.0,851.67,1430.31
129,230990,23,CE,Nordeste,2301,Noroeste Cearense,23005,Sobral,76.128,4,0.621,1106,350,86,759,4368.69,5986,2902,3084,4118,2075,5257,4,389,148.5,251.0,730.33,998.41
130,231000,23,CE,Nordeste,2305,Jaguaribe,23023,Baixo Jaguaribe,440.381,11,0.638,1190,351,145,846,5287.0,8866,4470,4396,6021,2399,8103,5,640,196.75,272.5,746.54,1177.96
131,231010,23,CE,Nordeste,2302,Norte Cearense,23013,BaturitÚ,117.814,10,0.622,1675,478,98,857,3632.84,12005,6002,6003,8640,3488,10825,6,993,170,255.0,758.59,1939.57
132,231020,23,CE,Nordeste,2302,Norte Cearense,23009,Baixo Curu,300.286,19,0.637,6044,2077,701,4469,6211.07,31636,15852,15784,23461,10224,24967,30,5076,185,255.0,808.68,1382.55
133,231025,23,CE,Nordeste,2302,Norte Cearense,23009,Baixo Curu,300.922,13,0.634,5213,1845,522,3297,5823.73,30041,15291,14750,22317,10139,22441,17,6161,196.67,244.0,924.86,1219.21
134,231030,23,CE,Nordeste,2304,Sert§es Cearenses,23020,SertÒo de Inhamuns,2303.54,21,0.57,5560,1632,324,1000,3884.11,31309,15262,16047,19377,9782,24617,.,5479,127.5,210.0,627.44,909.78
135,231040,23,CE,Nordeste,2302,Norte Cearense,23012,CanindÚ,482.592,13,0.583,2372,553,168,960,4392.67,11308,5814,5494,7487,4475,10427,6,796,128,250.0,563.42,925.92
136,231050,23,CE,Nordeste,2304,Sert§es Cearenses,23021,SertÒo de Senador Pompeu,1303.287,17,0.603,7233,2251,461,2769,3730.51,41890,20697,21193,26322,13030,37885,22,3007,129,226.4,656.22,939.83
